# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Oct 18 23:30:21 2023
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and sy_snum = 1
# CONSTRAINT:  and tran_flag not null
# CONSTRAINT:  and pl_rade not null
# CONSTRAINT:  and pl_trandep not null
# CONSTRAINT:  and st_mass not null)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN pl_trandep:     Transit Depth [%]
# COLUMN pl_trandeperr1: Transit Depth Upper Unc. [%]
# COLUMN pl_trandeperr2: Transit Depth Lower Unc. [%]
# COLUMN pl_trandeplim:  Transit Depth Limit Flag
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN tran_flag:      Detected by Transits
#
pl_name,hostname,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,st_mass,st_masserr1,st_masserr2,st_masslim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,default_flag,sy_snum,sy_pnum,tran_flag
CoRoT-8 b,CoRoT-8,6.390,0.220,-0.220,0,0.88,0.04,-0.04,0,0.651000,0.007000,-0.007000,0,1,1,1,1
CoRoTID 223977153 b,CoRoTID 223977153,6.389,0.673,-0.560,0,1.08,0.08,-0.07,0,0.290000,0.020000,-0.020000,0,1,1,1,1
EPIC 212737443 b,EPIC 212737443,2.586,0.126,-0.126,0,0.69,0.04,-0.04,0,0.110000,,,0,1,1,2,1
EPIC 212737443 c,EPIC 212737443,2.690,0.146,-0.146,0,0.69,0.04,-0.04,0,0.110000,,,0,1,1,2,1
EPIC 248847494 b,EPIC 248847494,12.442,0.785,-0.785,0,0.90,0.09,-0.09,0,0.180000,,,0,1,1,1,1
G 9-40 b,G 9-40,2.025,0.096,-0.097,0,0.29,0.02,-0.02,0,0.365000,0.032000,-0.033000,0,1,1,1,1
GJ 357 b,GJ 357,1.200,0.060,-0.060,0,0.34,0.01,-0.01,0,0.095500,0.006200,-0.006200,0,1,1,3,1
GPX-1 b,GPX-1,16.477,1.121,-1.121,0,1.68,0.10,-0.10,0,0.900000,0.030000,-0.030000,0,1,1,1,1
HAT-P-12 b,HAT-P-12,10.749,0.325,-0.235,0,0.73,0.02,-0.02,0,1.977000,0.037000,-0.036000,0,1,1,1,1
HAT-P-15 b,HAT-P-15,11.882,0.785,-0.785,0,1.00,0.23,-0.23,0,1.000000,0.018000,-0.018000,0,1,1,1,1
HAT-P-17 b,HAT-P-17,11.769,0.448,-0.448,0,0.99,0.15,-0.15,0,1.500000,0.022000,-0.022000,0,1,1,2,1
HAT-P-20 b,HAT-P-20,9.718,0.370,-0.370,0,0.76,0.03,-0.03,0,0.989800,,,0,1,1,1,1
HAT-P-21 b,HAT-P-21,12.442,1.793,-1.793,0,1.24,0.60,-0.60,0,0.900000,0.042000,-0.042000,0,1,1,1,1
HAT-P-23 b,HAT-P-23,15.334,1.009,-1.009,0,1.13,0.04,-0.04,0,1.053600,,,0,1,1,1,1
HAT-P-25 b,HAT-P-25,12.722,0.538,-0.538,0,1.01,0.05,-0.05,0,0.016100,0.000270,-0.000270,0,1,1,1,1
HAT-P-26 b,HAT-P-26,7.062,0.448,-0.448,0,1.12,0.36,-0.36,0,0.540000,0.001300,-0.001300,0,1,1,1,1
HAT-P-28 b,HAT-P-28,13.585,1.267,-0.919,0,1.02,0.05,-0.05,0,1.471900,,,0,1,1,1,1
HAT-P-31 b,HAT-P-31,12.218,1.681,-1.681,0,1.31,0.73,-0.73,0,0.650000,0.150000,-0.150000,0,1,1,1,1
HAT-P-37 b,HAT-P-37,13.204,0.863,-0.863,0,0.93,0.04,,0,1.899000,0.084000,-0.082000,0,1,1,1,1
HAT-P-40 b,HAT-P-40,17.038,1.906,-1.906,0,1.03,0.40,-0.40,0,0.650000,0.023000,-0.023000,0,1,1,1,1
HAT-P-49 b,HAT-P-49,17.822,2.018,-2.018,0,2.22,0.83,-0.83,0,0.630000,0.030000,-0.030000,0,1,1,1,1
HAT-P-5 b,HAT-P-5,13.563,1.121,-1.121,0,1.04,0.29,-0.29,0,1.200000,0.013000,-0.013000,0,1,1,1,1
HAT-P-56 b,HAT-P-56,16.926,1.233,-1.233,0,1.42,0.33,-0.33,0,1.100000,0.000100,-0.000100,0,1,1,1,1
HAT-P-6 b,HAT-P-6,16.589,1.681,-1.681,0,1.79,0.60,-0.60,0,0.870000,0.009900,-0.009900,0,1,1,1,1
HAT-P-69 b,HAT-P-69,18.786,0.572,-0.370,0,1.65,0.06,-0.03,0,0.762700,,,0,1,1,1,1
HAT-P-70 b,HAT-P-70,20.961,1.681,-1.121,0,1.89,0.01,-0.01,0,0.844300,,,0,1,1,1,1
HAT-P-9 b,HAT-P-9,15.614,0.751,-0.729,0,1.28,0.06,-0.06,0,1.144000,0.018000,-0.019000,0,1,1,1,1
HATS-6 b,HATS-6,11.187,0.213,-0.213,0,0.57,0.02,-0.03,0,3.230000,0.030000,-0.030000,0,1,1,1,1
HD 108236 b,HD 108236,1.615,0.051,-0.051,0,0.87,0.05,-0.05,0,0.028500,0.001700,-0.001700,0,1,1,5,1
HD 108236 c,HD 108236,2.071,0.052,-0.052,0,0.87,0.05,-0.05,0,0.046900,0.002100,-0.002200,0,1,1,5,1
HD 108236 d,HD 108236,2.539,0.062,-0.065,0,0.87,0.05,-0.05,0,0.070500,0.003100,-0.003400,0,1,1,5,1
HD 108236 e,HD 108236,3.083,0.052,-0.052,0,0.87,0.05,-0.05,0,0.103800,0.003000,-0.002800,0,1,1,5,1
HD 108236 f,HD 108236,2.017,0.052,-0.057,0,0.87,0.05,-0.05,0,0.044500,0.002100,-0.002400,0,1,1,5,1
HD 136352 b,HD 136352,1.664,0.043,-0.043,0,0.87,0.04,-0.04,0,0.020800,0.000800,-0.000800,0,1,1,3,1
HD 136352 c,HD 136352,2.916,0.075,-0.073,0,0.87,0.04,-0.04,0,0.063800,0.002400,-0.002200,0,1,1,3,1
HD 136352 d,HD 136352,2.562,0.088,-0.079,0,0.87,0.04,-0.04,0,0.049200,0.003000,-0.002500,0,1,1,3,1
HD 137496 b,HD 137496,1.310,0.060,-0.050,0,1.04,0.02,-0.02,0,0.005750,0.000461,-0.000428,0,1,1,2,1
HD 1397 b,HD 1397,11.500,0.280,-0.303,0,1.32,0.04,-0.05,0,0.203700,0.002700,-0.002300,0,1,1,1,1
HD 149026 b,HD 149026,8.295,0.224,-0.224,0,1.42,0.33,-0.33,0,0.290000,0.008700,-0.008700,0,1,1,1,1
HD 15906 b,HD 15906,2.240,0.080,-0.080,0,0.79,0.02,-0.04,0,0.072900,0.005400,-0.005300,0,1,1,2,1
HD 15906 c,HD 15906,2.930,0.070,-0.060,0,0.79,0.02,-0.04,0,0.124300,0.005400,-0.005100,0,1,1,2,1
HD 17156 b,HD 17156,12.330,0.336,-0.336,0,1.41,0.12,-0.12,0,0.530000,0.008700,-0.008700,0,1,1,1,1
HD 207897 b,HD 207897,2.501,0.082,-0.078,0,0.80,0.04,-0.03,0,0.086600,0.002900,-0.002700,0,1,1,1,1
HD 209458 b,HD 209458,15.581,0.224,-0.224,0,1.23,0.09,-0.09,0,1.500000,0.002400,-0.002400,0,1,1,1,1
HD 213885 b,HD 213885,1.745,0.051,-0.052,0,1.07,0.02,-0.02,0,0.020000,,,0,1,1,2,1
HD 219134 b,HD 219134,1.602,0.055,-0.055,0,0.81,0.03,-0.03,0,0.035800,0.002400,-0.002400,0,1,1,6,1
HD 219134 c,HD 219134,1.511,0.047,-0.047,0,0.81,0.03,-0.03,0,0.031800,0.001900,-0.001900,0,1,1,6,1
HD 219666 b,HD 219666,4.240,0.160,-0.160,0,0.92,0.03,-0.03,0,0.141400,0.006800,-0.006800,0,1,1,1,1
HD 28109 b,HD 28109,2.199,0.098,-0.100,0,1.26,0.08,-0.08,0,0.018800,0.001300,-0.001600,0,1,1,3,1
HD 28109 c,HD 28109,4.230,0.110,-0.110,0,1.26,0.08,-0.08,0,0.083400,0.001500,-0.001700,0,1,1,3,1
HD 28109 d,HD 28109,3.250,0.110,-0.110,0,1.26,0.08,-0.08,0,0.048900,0.002100,-0.002400,0,1,1,3,1
HD 332231 b,HD 332231,9.718,0.303,-0.280,0,1.13,0.08,-0.08,0,0.486700,0.005800,-0.005500,0,1,1,1,1
HD 63433 b,HD 63433,2.150,0.100,-0.100,0,0.99,0.03,-0.03,0,0.046700,0.002400,-0.002300,0,1,1,2,1
HD 63433 c,HD 63433,2.670,0.120,-0.120,0,0.99,0.03,-0.03,0,0.072200,0.003800,-0.003700,0,1,1,2,1
HD 73583 b,HD 73583,2.490,0.100,-0.100,0,0.73,0.02,-0.02,0,0.093000,0.005600,-0.005600,0,1,1,2,1
HD 89345 b,HD 89345,7.398,0.314,-0.336,0,1.16,0.04,-0.04,0,0.150900,0.008500,-0.009100,0,1,1,1,1
HD 97658 b,HD 97658,2.120,0.060,-0.060,0,0.85,0.08,-0.08,0,0.071200,0.003800,-0.003800,0,1,1,1,1
HIP 113103 b,HIP 113103,1.829,0.096,-0.067,0,0.76,0.04,-0.04,0,0.059600,0.006200,-0.005100,0,1,1,2,1
HIP 113103 c,HIP 113103,2.400,0.100,-0.080,0,0.76,0.04,-0.04,0,0.105100,0.011000,-0.008700,0,1,1,2,1
K2-11 b,K2-11,7.550,9.330,-9.330,0,1.35,0.04,-0.56,0,0.070000,,,0,1,1,1,1
K2-114 b,K2-114,10.447,0.347,-0.347,0,0.86,0.04,-0.03,0,0.013520,0.000330,-0.000360,0,1,1,1,1
K2-13 b,K2-13,1.890,0.950,-0.950,0,0.80,0.04,-0.04,0,0.058000,,,0,1,1,1,1
K2-133 e,K2-133,1.730,0.140,-0.130,0,0.46,0.01,-0.01,0,0.098700,0.008600,-0.008100,0,1,1,4,1
K2-14 b,K2-14,4.810,0.420,-0.420,0,0.47,0.01,-0.01,0,0.943000,,,0,1,1,1,1
K2-140 b,K2-140,13.563,1.009,-1.009,0,0.96,0.06,-0.04,0,1.557000,0.002000,-0.002000,0,1,1,1,1
K2-15 b,K2-15,2.480,0.300,-0.300,0,0.72,0.06,-0.03,0,0.121000,,,0,1,1,1,1
K2-152 b,K2-152,2.290,0.250,-0.240,0,0.63,0.01,-0.01,0,0.159000,,,0,1,1,1,1
K2-153 b,K2-153,2.000,0.210,-0.180,0,0.55,0.01,-0.01,0,0.129000,,,0,1,1,1,1
K2-154 b,K2-154,1.990,0.210,-0.110,0,0.65,0.02,-0.01,0,0.110000,,,0,1,1,2,1
K2-154 c,K2-154,2.070,0.180,-0.130,0,0.65,0.02,-0.01,0,0.110000,,,0,1,1,2,1
K2-155 b,K2-155,1.800,0.200,-0.100,0,0.65,0.06,-0.03,0,0.068000,0.005000,-0.004000,0,1,1,3,1
K2-155 c,K2-155,2.600,0.700,-0.200,0,0.65,0.06,-0.03,0,0.103000,0.010000,-0.006000,0,1,1,3,1
K2-155 d,K2-155,1.900,0.700,-0.200,0,0.65,0.06,-0.03,0,0.074000,0.012000,-0.008000,0,1,1,3,1
K2-158 b,K2-158,2.640,0.160,-0.100,0,0.92,0.03,-0.02,0,0.070000,,,0,1,1,2,1
K2-158 c,K2-158,1.280,0.130,-0.100,0,0.92,0.03,-0.02,0,0.015000,,,0,1,1,2,1
K2-159 b,K2-159,2.260,0.170,-0.110,0,0.90,0.02,-0.03,0,0.065000,,,0,1,1,1,1
K2-162 b,K2-162,1.440,0.110,-0.070,0,0.75,0.02,-0.02,0,0.026690,,,0,1,1,1,1
K2-166 b,K2-166,2.190,0.200,-0.190,0,1.16,0.05,-0.03,0,0.016000,,,0,1,1,2,1
K2-17 b,K2-17,2.230,0.200,-0.200,0,0.71,0.02,-0.05,0,0.099000,,,0,1,1,1,1
K2-212 b,K2-212,2.650,0.200,-0.180,0,0.62,0.02,-0.02,0,0.127970,0.000900,-0.000900,0,1,1,1,1
K2-224 b,K2-224,1.560,0.160,-0.140,0,0.91,0.02,-0.02,0,0.032700,,,0,1,1,2,1
K2-224 c,K2-224,2.410,0.160,-0.120,0,0.91,0.02,-0.02,0,0.059280,,,0,1,1,2,1
K2-225 b,K2-225,3.490,0.260,-0.200,0,1.27,0.02,-0.04,0,0.034000,,,0,1,1,1,1
K2-226 b,K2-226,1.540,0.140,-0.090,0,0.88,0.03,-0.03,0,0.027000,,,0,1,1,1,1
K2-228 b,K2-228,1.210,0.100,-0.060,0,0.71,0.02,-0.02,0,0.025870,,,0,1,1,1,1
K2-229 c,K2-229,2.030,0.120,-0.060,0,0.87,0.01,-0.01,0,0.053250,,,0,1,1,2,1
K2-230 b,K2-230,1.960,0.180,-0.160,0,1.11,0.02,-0.02,0,0.020000,,,0,1,1,1,1
K2-237 b,K2-237,16.197,0.549,-0.504,0,1.26,0.05,-0.07,0,1.385000,0.065000,-0.060000,0,1,1,1,1
K2-239 b,K2-239,1.100,0.100,-0.100,0,0.40,0.01,-0.01,0,0.067000,0.007000,-0.006000,0,1,1,3,1
K2-239 c,K2-239,1.000,0.100,-0.100,0,0.40,0.01,-0.01,0,0.058000,0.008000,-0.006000,0,1,1,3,1
K2-239 d,K2-239,1.100,0.100,-0.100,0,0.40,0.01,-0.01,0,0.065000,0.006000,-0.006000,0,1,1,3,1
K2-240 b,K2-240,2.000,0.200,-0.100,0,0.58,0.01,-0.01,0,0.131000,0.010000,-0.010000,0,1,1,2,1
K2-240 c,K2-240,1.800,0.300,-0.100,0,0.58,0.01,-0.01,0,0.098000,0.016000,-0.015000,0,1,1,2,1
K2-241 b,K2-241,2.550,0.180,-0.100,0,0.71,0.01,-0.01,0,0.090000,,,0,1,1,1,1
K2-242 b,K2-242,2.540,0.210,-0.190,0,0.38,0.01,-0.01,0,0.624000,,,0,1,1,1,1
K2-243 b,K2-243,2.170,0.140,-0.120,0,1.29,0.04,-0.06,0,0.016000,,,0,1,1,2,1
K2-243 c,K2-243,2.010,0.150,-0.130,0,1.29,0.04,-0.06,0,0.019000,,,0,1,1,2,1
K2-244 b,K2-244,1.750,0.130,-0.100,0,0.86,0.02,-0.02,0,0.030000,,,0,1,1,1,1
K2-245 b,K2-245,4.340,0.190,-0.140,0,0.83,0.02,-0.01,0,0.107000,,,0,1,1,1,1
K2-246 b,K2-246,3.490,0.250,-0.210,0,0.87,0.02,-0.02,0,0.134000,,,0,1,1,1,1
K2-247 b,K2-247,2.120,0.190,-0.160,0,0.74,0.03,-0.03,0,0.100000,,,0,1,1,2,1
K2-247 c,K2-247,2.190,0.250,-0.230,0,0.74,0.03,-0.03,0,0.110000,,,0,1,1,2,1
K2-248 b,K2-248,2.570,0.200,-0.140,0,0.88,0.04,-0.03,0,0.070000,,,0,1,1,1,1
K2-249 b,K2-249,2.790,0.270,-0.220,0,1.32,0.09,-0.12,0,0.024000,,,0,1,1,1,1
K2-25 b,K2-25,3.440,0.120,-0.120,0,0.26,0.01,-0.01,0,1.155000,0.038000,-0.039000,0,1,1,1,1
K2-250 b,K2-250,2.440,0.190,-0.150,0,0.80,0.03,-0.02,0,0.102000,,,0,1,1,1,1
K2-251 b,K2-251,2.350,0.260,-0.210,0,0.52,0.01,-0.01,0,0.214000,,,0,1,1,1,1
K2-252 b,K2-252,1.740,0.170,-0.120,0,0.79,0.02,-0.01,0,0.036000,,,0,1,1,1,1
K2-253 b,K2-253,12.670,0.690,-0.610,0,1.08,0.05,-0.08,0,1.259000,,,0,1,1,1,1
K2-254 b,K2-254,1.630,0.280,-0.240,0,0.71,0.02,-0.03,0,0.052000,,,0,1,1,2,1
K2-254 c,K2-254,2.190,0.240,-0.180,0,0.71,0.02,-0.03,0,0.120000,,,0,1,1,2,1
K2-255 b,K2-255,2.900,0.280,-0.110,0,0.71,0.03,-0.03,0,0.183000,,,0,1,1,1,1
K2-256 b,K2-256,2.630,0.250,-0.210,0,0.84,0.03,-0.04,0,0.097000,,,0,1,1,1,1
K2-257 b,K2-257,0.830,0.060,-0.050,0,0.52,0.01,-0.01,0,0.034000,,,0,1,1,1,1
K2-258 b,K2-258,3.000,0.210,-0.200,0,1.21,0.05,-0.08,0,0.049000,,,0,1,1,1,1
K2-259 b,K2-259,2.320,0.200,-0.170,0,1.14,0.03,-0.03,0,0.037000,,,0,1,1,1,1
K2-260 b,K2-260,17.396,0.538,-0.639,0,1.39,0.05,-0.06,0,0.947000,0.006200,-0.004800,0,1,1,1,1
K2-261 b,K2-261,9.528,0.392,-0.381,0,1.09,0.05,-0.05,0,0.281400,0.012000,-0.007800,0,1,1,1,1
K2-285 b,K2-285,2.590,0.060,-0.060,0,0.83,0.02,-0.02,0,0.097000,0.004000,-0.003000,0,1,1,4,1
K2-285 c,K2-285,3.530,0.080,-0.080,0,0.83,0.02,-0.02,0,0.210000,0.030000,-0.020000,0,1,1,4,1
K2-285 d,K2-285,2.480,0.060,-0.060,0,0.83,0.02,-0.02,0,0.100000,0.007000,-0.004000,0,1,1,4,1
K2-285 e,K2-285,1.950,0.050,-0.050,0,0.83,0.02,-0.02,0,0.068000,0.009000,-0.006000,0,1,1,4,1
K2-286 b,K2-286,2.100,0.200,-0.200,0,0.64,0.02,-0.02,0,0.112000,0.026000,-0.016000,0,1,1,1,1
K2-30 b,K2-30,11.646,0.560,-0.572,0,0.90,0.04,-0.04,0,1.603000,0.037000,-0.041000,0,1,1,1,1
K2-316 b,K2-316,1.330,0.100,-0.090,0,0.41,0.01,-0.01,0,0.095700,0.001900,-0.001900,0,1,1,2,1
K2-316 c,K2-316,1.830,0.130,-0.120,0,0.41,0.01,-0.01,0,0.248000,0.006000,-0.006000,0,1,1,2,1
K2-317 b,K2-317,2.930,0.190,-0.170,0,0.40,0.01,-0.01,0,0.119000,0.013000,-0.013000,0,1,1,1,1
K2-318 b,K2-318,1.660,0.130,-0.130,0,0.56,0.05,-0.05,0,0.085000,0.002000,-0.002000,0,1,1,1,1
K2-319 b,K2-319,2.790,0.110,-0.100,0,0.95,0.06,-0.06,0,0.083000,0.001000,-0.001000,0,1,1,1,1
K2-320 b,K2-320,2.620,0.230,-0.150,0,0.12,0.01,-0.01,0,0.557000,0.005000,-0.005000,0,1,1,1,1
K2-321 b,K2-321,1.950,0.100,-0.120,0,0.60,0.03,-0.03,0,0.110000,0.001000,-0.001000,0,1,1,1,1
K2-322 b,K2-322,1.920,0.290,-0.180,0,0.63,0.03,-0.03,0,0.071000,0.002000,-0.002000,0,1,1,1,1
K2-323 b,K2-323,2.100,0.090,-0.110,0,0.48,0.09,-0.09,0,0.263000,0.010000,-0.010000,0,1,1,1,1
K2-324 b,K2-324,2.430,0.150,-0.130,0,0.52,0.04,-0.04,0,0.199000,0.002000,-0.002000,0,1,1,1,1
K2-325 b,K2-325,2.200,0.140,-0.150,0,0.27,0.01,-0.01,0,0.672000,0.010000,-0.010000,0,1,1,1,1
K2-326 b,K2-326,2.280,0.180,-0.180,0,0.51,0.05,-0.05,0,0.092100,0.002700,-0.002700,0,1,1,1,1
K2-39 b,K2-39,6.277,1.681,-1.681,0,0.66,0.56,-0.56,0,0.037000,0.003400,-0.003400,0,1,1,1,1
K2-6 b,K2-6,2.500,0.880,-0.880,0,0.97,0.07,-0.07,0,0.068000,,,0,1,1,1,1
K2-7 b,K2-7,2.670,0.560,-0.560,0,0.97,0.06,-0.06,0,0.053000,,,0,1,1,1,1
KELT-1 b,KELT-1,12.442,0.359,-0.247,0,1.32,0.03,,0,0.608600,0.009400,-0.008900,0,1,1,1,1
KELT-10 b,KELT-10,15.681,0.773,-0.549,0,1.11,0.06,-0.06,0,1.416000,0.034000,-0.029000,0,1,1,1,1
KELT-11 b,KELT-11,15.132,1.121,-1.121,0,1.44,0.07,-0.07,0,0.265000,0.035000,-0.038000,0,1,1,1,1
KELT-12 b,KELT-12,19.952,1.906,-1.793,0,1.59,0.07,-0.09,0,0.596000,0.029000,-0.028000,0,1,1,1,1
KELT-14 b,KELT-14,19.537,0.527,-0.527,0,1.24,0.04,-0.04,0,1.386000,0.029000,-0.029000,0,1,1,1,1
KELT-17 b,KELT-17,17.094,0.729,-0.673,0,1.64,0.07,-0.06,0,0.907000,0.017000,-0.016000,0,1,1,1,1
KELT-20 b,KELT-20,19.515,0.773,-0.829,0,1.76,0.14,-0.19,0,1.309000,0.014000,-0.014000,0,1,1,1,1
KELT-21 b,KELT-21,17.777,0.437,-0.448,0,1.46,0.03,-0.03,0,0.990000,0.014000,-0.014000,0,1,1,1,1
KELT-24 b,KELT-24,14.258,0.235,-0.235,0,1.46,0.06,-0.06,0,0.753000,0.012000,-0.012000,0,1,1,1,1
KELT-6 b,KELT-6,14.572,1.009,-1.009,0,1.42,0.46,-0.46,0,0.600000,0.015000,-0.015000,0,1,1,2,1
KELT-7 b,KELT-7,17.934,0.673,-0.673,0,1.76,0.25,-0.25,0,0.830000,0.012000,-0.012000,0,1,1,1,1
KELT-8 b,KELT-8,18.159,1.121,-1.121,0,0.81,0.21,-0.21,0,1.300000,0.060000,-0.060000,0,1,1,1,1
KIC 10525077 b,KIC 10525077,5.500,0.900,-0.800,0,1.01,0.12,-0.12,0,0.250000,,,0,1,1,1,1
KIC 3558849 b,KIC 3558849,6.900,1.000,-0.900,0,0.98,0.11,-0.11,0,0.396900,,,0,1,1,1,1
KIC 5437945 b,KIC 5437945,6.400,1.600,-1.600,0,1.07,0.17,-0.17,0,0.220900,,,0,1,1,2,1
KIC 8540376 b,KOI-7892,4.100,2.200,-1.900,0,1.04,0.20,-0.20,0,0.090000,,,0,1,1,3,1
KIC 8540376 c,KOI-7892,2.400,1.900,-1.400,0,1.04,0.20,-0.20,0,0.032400,,,0,1,1,3,1
KIC 9663113 b,KIC 9663113,4.600,0.600,-0.700,0,0.98,0.13,-0.13,0,0.168100,,,0,1,1,2,1
KOI-1783.01,KOI-1783,8.860,0.250,-0.240,0,1.08,0.04,-0.03,0,0.504400,0.008700,-0.006400,0,1,1,2,1
KOI-217 b,KOI-217,12.442,0.224,-0.224,0,0.95,0.05,,0,1.756000,0.008000,-0.013000,0,1,1,1,1
KOI-984 b,KOI-984,4.300,0.050,-0.050,0,0.93,0.03,-0.03,0,0.229000,0.004000,-0.004000,0,1,1,2,1
Kepler-105 b,Kepler-105,4.810,1.530,-1.530,0,1.28,0.12,-0.19,0,0.060000,0.000600,-0.000600,0,1,1,2,1
Kepler-1052 c,Kepler-1052,2.300,0.540,-0.190,0,0.94,0.09,-0.12,0,0.074240,0.005040,-0.005040,0,1,1,2,1
Kepler-11 b,Kepler-11,1.800,0.030,-0.050,0,0.96,0.03,-0.03,0,0.030130,0.000730,-0.000790,0,1,1,6,1
Kepler-11 c,Kepler-11,2.870,0.050,-0.060,0,0.96,0.03,-0.03,0,0.075080,0.000680,-0.001000,0,1,1,6,1
Kepler-11 d,Kepler-11,3.120,0.060,-0.070,0,0.96,0.03,-0.03,0,0.088500,0.001100,-0.001100,0,1,1,6,1
Kepler-11 e,Kepler-11,4.190,0.070,-0.090,0,0.96,0.03,-0.03,0,0.133300,0.001400,-0.001400,0,1,1,6,1
Kepler-11 f,Kepler-11,2.490,0.040,-0.070,0,0.96,0.03,-0.03,0,0.054800,0.001200,-0.001200,0,1,1,6,1
Kepler-11 g,Kepler-11,3.330,0.060,-0.080,0,0.96,0.03,-0.03,0,0.100600,0.001500,-0.001900,0,1,1,6,1
Kepler-1126 c,Kepler-1126,1.450,0.180,-0.180,0,0.79,0.07,-0.03,0,0.025190,0.001970,-0.001970,0,1,1,2,1
Kepler-1162 c,Kepler-1162,1.810,0.130,-0.110,0,0.86,0.05,-0.04,0,0.042440,0.003570,-0.003570,0,1,1,2,1
Kepler-1181 c,Kepler-1181,1.830,0.640,-0.230,0,1.34,0.20,-0.20,0,0.013590,0.001650,-0.001650,0,1,1,2,1
Kepler-1471 c,Kepler-1471,1.880,0.280,-0.340,0,0.93,0.06,-0.04,0,0.026760,0.002030,-0.002030,0,1,1,2,1
