# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Nov 16 08:34:22 2023
#
# User preference: *
#
# CONSTRAINT:  where (kepoi_name like '%.01%'
# CONSTRAINT:  and koi_disposition not like '%FALSE POSITIVE%'
# CONSTRAINT:  and koi_pdisposition not like '%FALSE POSITIVE%'
# CONSTRAINT:  and koi_steff in [2000,4500]
# CONSTRAINT:  and koi_srad in [0.05,0.8]
# CONSTRAINT:  and koi_smass in [0.08,0.8])
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
#
kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_depth,koi_prad,koi_teq,koi_steff,koi_srad,koi_smass
11853130,K03263.01,,CANDIDATE,CANDIDATE,2.1272e+04,7.71,202.0,3638.00,0.4360,0.4670
9710326,K00947.01,Kepler-737 b,CONFIRMED,CANDIDATE,1.5851e+03,1.83,298.0,3755.00,0.4610,0.4700
3426367,K02662.01,Kepler-1308 b,CONFIRMED,CANDIDATE,2.4210e+02,0.79,662.0,3605.00,0.4330,0.4700
11198419,K05879.01,,CANDIDATE,CANDIDATE,8.2800e+02,1.60,209.0,3827.00,0.4620,0.4710
8874090,K01404.01,Kepler-834 b,CONFIRMED,CANDIDATE,7.8130e+02,1.26,378.0,3751.00,0.4500,0.4790
10027247,K02418.01,Kepler-1229 b,CONFIRMED,CANDIDATE,7.5100e+02,1.68,196.0,3576.00,0.4630,0.4820
7455287,K00886.01,Kepler-54 b,CONFIRMED,CANDIDATE,1.3336e+03,1.72,453.0,3713.00,0.4700,0.4840
4762283,K07706.01,,CANDIDATE,CANDIDATE,6.0790e+02,1.19,303.0,4281.00,0.4800,0.4850
2973386,K03034.01,,CANDIDATE,CANDIDATE,8.5950e+02,1.66,291.0,3720.00,0.4800,0.4880
6185476,K00227.01,,CANDIDATE,CANDIDATE,2.1557e+03,2.45,350.0,3745.00,0.4700,0.4900
11192235,K02329.01,Kepler-1826 b,CONFIRMED,CANDIDATE,4.9960e+02,1.37,806.0,3821.00,0.4860,0.4900
9388479,K00936.01,Kepler-732 b,CONFIRMED,CANDIDATE,2.2370e+03,2.13,407.0,3582.00,0.4580,0.4910
10388286,K00596.01,Kepler-617 b,CONFIRMED,CANDIDATE,7.0380e+02,1.23,750.0,3669.00,0.4700,0.4940
3966801,K00494.01,Kepler-577 b,CONFIRMED,CANDIDATE,1.1308e+03,1.70,314.0,3787.00,0.4770,0.4960
8459663,K04356.01,Kepler-1593 b,CONFIRMED,CANDIDATE,1.5300e+03,1.74,186.0,4367.00,0.4520,0.4960
4139816,K00812.01,Kepler-235 b,CONFIRMED,CANDIDATE,1.6326e+03,2.03,656.0,3950.00,0.4930,0.5020
11923270,K00781.01,Kepler-676 b,CONFIRMED,CANDIDATE,2.8045e+03,2.65,396.0,3688.00,0.4730,0.5030
6435936,K00854.01,Kepler-705 b,CONFIRMED,CANDIDATE,1.6260e+03,1.94,233.0,3593.00,0.4910,0.5030
9427402,K01397.01,,CANDIDATE,CANDIDATE,1.4966e+03,1.89,512.0,3821.00,0.4870,0.5030
7826620,K04268.01,Kepler-1579 b,CONFIRMED,CANDIDATE,1.2430e+02,0.59,1139.0,4296.00,0.5050,0.5030
8845552,K07099.01,,CANDIDATE,CANDIDATE,3.8660e+02,1.05,337.0,4367.00,0.5010,0.5030
7871954,K01515.01,Kepler-303 b,CONFIRMED,CANDIDATE,3.1230e+02,0.87,802.0,4042.00,0.4900,0.5050
7603200,K00314.01,Kepler-138 c,CONFIRMED,CANDIDATE,7.5600e+02,1.42,402.0,3846.00,0.5030,0.5050
5553959,K03377.01,,CANDIDATE,CANDIDATE,3.7580e+02,0.99,506.0,4338.00,0.5080,0.5070
7870390,K00898.01,Kepler-83 b,CONFIRMED,CANDIDATE,1.8978e+03,2.23,460.0,3906.00,0.5090,0.5080
9787239,K00952.01,Kepler-32 b,CONFIRMED,CANDIDATE,1.5252e+03,1.94,514.0,3731.00,0.4980,0.5090
8547140,K01266.01,Kepler-801 b,CONFIRMED,CANDIDATE,9.1560e+02,1.48,419.0,3823.00,0.4920,0.5130
8167996,K01867.01,Kepler-327 b,CONFIRMED,CANDIDATE,4.9510e+02,1.11,682.0,3716.00,0.5060,0.5130
10471621,K02554.01,,CANDIDATE,CANDIDATE,6.2180e+02,13.72,325.0,4405.00,0.5110,0.5130
9837661,K02715.01,Kepler-1321 b,CONFIRMED,CANDIDATE,6.0570e+03,4.04,408.0,3640.00,0.5030,0.5130
11852982,K00247.01,Kepler-1712 b,CONFIRMED,CANDIDATE,1.0326e+03,1.91,391.0,3732.00,0.5090,0.5150
11129738,K01427.01,Kepler-844 b,CONFIRMED,CANDIDATE,5.9970e+02,1.50,713.0,3883.00,0.5170,0.5160
10329835,K02058.01,Kepler-1075 b,CONFIRMED,CANDIDATE,3.6470e+02,1.26,818.0,3746.00,0.5100,0.5160
10027323,K01596.01,Kepler-309 b,CONFIRMED,CANDIDATE,4.0650e+02,0.99,531.0,3883.00,0.4960,0.5180
6863158,K07793.01,,CANDIDATE,CANDIDATE,7.5100e+01,0.46,758.0,3799.00,0.5100,0.5180
12253490,K05961.01,,CANDIDATE,CANDIDATE,3.2491e+04,25.24,424.0,4492.00,0.5160,0.5180
11129145,K05870.01,,CANDIDATE,CANDIDATE,2.1680e+02,0.75,217.0,4342.00,0.5230,0.5180
6609270,K03090.01,Kepler-1902 b,CONFIRMED,CANDIDATE,3.6270e+02,1.05,601.0,3729.00,0.5140,0.5200
4172805,K04427.01,,CANDIDATE,CANDIDATE,1.0878e+03,1.59,176.0,3788.00,0.4900,0.5200
5640085,K00448.01,Kepler-159 b,CONFIRMED,CANDIDATE,1.1559e+03,1.68,447.0,3893.00,0.5000,0.5210
7094486,K01907.01,Kepler-1009 b,CONFIRMED,CANDIDATE,1.2210e+03,1.75,403.0,3597.00,0.5140,0.5220
5436338,K02835.01,Kepler-1880 b,CONFIRMED,CANDIDATE,6.9120e+02,1.37,606.0,4380.00,0.5300,0.5240
8018547,K00902.01,,CANDIDATE,CANDIDATE,7.9587e+03,4.78,226.0,3960.00,0.5090,0.5260
10975146,K01300.01,Kepler-808 b,CONFIRMED,CANDIDATE,4.3450e+02,1.20,1322.0,4441.00,0.5300,0.5260
8890150,K02650.01,Kepler-395 c,CONFIRMED,CANDIDATE,4.9850e+02,1.14,292.0,3765.00,0.5210,0.5260
12352520,K03094.01,Kepler-1904 b,CONFIRMED,CANDIDATE,7.1000e+02,1.33,567.0,3805.00,0.4970,0.5260
10525027,K02006.01,Kepler-1049 b,CONFIRMED,CANDIDATE,2.6250e+02,0.81,625.0,3758.00,0.4960,0.5280
9456281,K04207.01,,CANDIDATE,CANDIDATE,2.1080e+02,0.80,1227.0,4236.00,0.5390,0.5280
12066569,K03282.01,Kepler-1455 b,CONFIRMED,CANDIDATE,1.1329e+03,1.75,271.0,3899.00,0.5290,0.5280
11187837,K00252.01,Kepler-1663 b,CONFIRMED,CANDIDATE,2.2921e+03,2.64,362.0,3744.00,0.5160,0.5290
7021681,K00255.01,Kepler-505 b,CONFIRMED,CANDIDATE,2.3128e+03,2.47,314.0,3780.00,0.5110,0.5310
9452897,K03391.01,,CANDIDATE,CANDIDATE,5.7950e+02,1.28,336.0,4342.00,0.5400,0.5310
10386984,K00739.01,Kepler-658 b,CONFIRMED,CANDIDATE,7.2940e+02,1.39,871.0,3736.00,0.5250,0.5330
3749365,K01176.01,Kepler-785 b,CONFIRMED,CANDIDATE,3.0222e+04,8.78,753.0,3807.00,0.5030,0.5340
10489206,K00251.01,Kepler-125 b,CONFIRMED,CANDIDATE,2.3380e+03,2.54,590.0,3808.00,0.5080,0.5340
10118816,K01085.01,Kepler-1735 b,CONFIRMED,CANDIDATE,3.0680e+02,0.90,502.0,3975.00,0.5090,0.5350
10388451,K07319.01,,CANDIDATE,CANDIDATE,3.3510e+02,0.97,370.0,3761.00,0.5260,0.5350
8423344,K07592.01,,CANDIDATE,CANDIDATE,9.0000e+02,1.55,132.0,3761.00,0.5260,0.5350
4725681,K00817.01,Kepler-236 c,CONFIRMED,CANDIDATE,1.1823e+03,1.80,329.0,3747.00,0.5240,0.5360
5384713,K03444.01,,CANDIDATE,CANDIDATE,2.1580e+02,0.76,404.0,3705.00,0.5290,0.5360
4263293,K01895.01,Kepler-331 b,CONFIRMED,CANDIDATE,1.3203e+03,1.87,540.0,4347.00,0.5240,0.5370
9757613,K00250.01,Kepler-26 b,CONFIRMED,CANDIDATE,2.7947e+03,2.83,431.0,3879.00,0.5370,0.5370
9349482,K02020.01,Kepler-1058 b,CONFIRMED,CANDIDATE,1.2832e+03,2.11,239.0,4441.00,0.5460,0.5380
2302997,K07630.01,,CANDIDATE,CANDIDATE,1.9900e+02,0.78,388.0,3905.00,0.5210,0.5380
3642335,K03010.01,Kepler-1410 b,CONFIRMED,CANDIDATE,7.1430e+02,1.39,244.0,3808.00,0.5220,0.5390
6773862,K01868.01,Kepler-988 b,CONFIRMED,CANDIDATE,1.2872e+03,1.93,368.0,3826.00,0.5160,0.5400
6620003,K01225.01,,CANDIDATE,CANDIDATE,2.8460e+04,25.00,827.0,3874.00,0.5350,0.5410
5364071,K00248.01,Kepler-49 b,CONFIRMED,CANDIDATE,1.7659e+03,2.25,509.0,3834.00,0.5390,0.5410
8229458,K02238.01,Kepler-1152 b,CONFIRMED,CANDIDATE,2.8420e+02,0.86,806.0,3810.00,0.5130,0.5430
5353938,K06568.01,,CANDIDATE,CANDIDATE,1.6600e+02,0.65,532.0,3914.00,0.5150,0.5430
7135852,K00875.01,Kepler-1729 b,CONFIRMED,CANDIDATE,2.2600e+03,2.62,595.0,3837.00,0.5170,0.5440
6679295,K02862.01,,CANDIDATE,CANDIDATE,1.0034e+03,1.64,316.0,3678.00,0.5120,0.5450
7868967,K06925.01,,CANDIDATE,CANDIDATE,3.3100e+02,0.94,416.0,3867.00,0.5250,0.5450
9353314,K01900.01,Kepler-1007 b,CONFIRMED,CANDIDATE,4.3010e+02,1.15,652.0,4325.00,0.5600,0.5470
5087223,K06513.01,,CANDIDATE,CANDIDATE,4.6410e+02,1.17,561.0,3894.00,0.5410,0.5480
8639908,K02700.01,,CANDIDATE,CANDIDATE,3.5810e+02,1.12,1127.0,4297.00,0.5330,0.5500
7582691,K04419.01,,CANDIDATE,CANDIDATE,2.3150e+02,1.22,1559.0,3939.00,0.5260,0.5500
7130612,K05359.01,,CANDIDATE,CANDIDATE,8.6900e+02,1.53,713.0,3939.00,0.5270,0.5500
9150827,K01408.01,Kepler-1749 b,CONFIRMED,CANDIDATE,5.1060e+02,1.36,420.0,3957.00,0.5530,0.5510
10990886,K00478.01,Kepler-568 b,CONFIRMED,CANDIDATE,1.7955e+03,2.46,429.0,3744.00,0.5370,0.5510
6382217,K02036.01,Kepler-353 c,CONFIRMED,CANDIDATE,7.5560e+02,1.80,472.0,3757.00,0.5390,0.5520
9458266,K07174.01,,CANDIDATE,CANDIDATE,4.2900e+01,0.37,943.0,4201.00,0.5660,0.5520
4913852,K00818.01,Kepler-691 b,CONFIRMED,CANDIDATE,1.5580e+03,2.10,460.0,3692.00,0.5170,0.5530
6497146,K03284.01,Kepler-438 b,CONFIRMED,CANDIDATE,3.5280e+02,0.97,288.0,3749.00,0.5240,0.5540
9202151,K01393.01,,CANDIDATE,CANDIDATE,1.4468e+03,2.12,797.0,3764.00,0.5270,0.5550
5080636,K01843.01,Kepler-974 b,CONFIRMED,CANDIDATE,6.6070e+02,1.57,577.0,3706.00,0.5220,0.5550
11092783,K07408.01,,CANDIDATE,CANDIDATE,4.1240e+02,19.07,574.0,3900.00,0.5340,0.5550
7447200,K00676.01,Kepler-210 c,CONFIRMED,CANDIDATE,3.1390e+03,3.22,497.0,3912.00,0.5330,0.5560
8189801,K02480.01,,CANDIDATE,CANDIDATE,5.1160e+02,1.49,1183.0,3993.00,0.5540,0.5560
12302530,K00438.01,Kepler-155 b,CONFIRMED,CANDIDATE,1.0074e+03,2.01,562.0,3984.00,0.5390,0.5570
9214942,K01403.01,Kepler-833 b,CONFIRMED,CANDIDATE,9.9530e+02,1.67,382.0,3976.00,0.5400,0.5590
8978528,K01874.01,Kepler-329 c,CONFIRMED,CANDIDATE,1.2515e+03,1.93,402.0,4156.00,0.5450,0.5590
10925104,K00156.01,Kepler-114 c,CONFIRMED,CANDIDATE,5.9100e+02,1.29,507.0,3980.00,0.5400,0.5600
10332883,K01880.01,Kepler-994 b,CONFIRMED,CANDIDATE,5.7840e+02,1.28,957.0,3951.00,0.5350,0.5610
9112931,K02256.01,Kepler-1161 b,CONFIRMED,CANDIDATE,1.1986e+03,2.02,485.0,4175.00,0.5440,0.5610
10670119,K02179.01,Kepler-369 c,CONFIRMED,CANDIDATE,9.4490e+02,1.59,391.0,3825.00,0.5240,0.5610
8013419,K00901.01,,CANDIDATE,CANDIDATE,6.4657e+03,4.87,432.0,3950.00,0.5410,0.5630
8346392,K01141.01,Kepler-777 b,CONFIRMED,CANDIDATE,6.4340e+02,1.38,569.0,3968.00,0.5480,0.5670
6776555,K05327.01,,CANDIDATE,CANDIDATE,1.4210e+03,2.09,548.0,3694.00,0.5660,0.5670
6425957,K00663.01,Kepler-205 b,CONFIRMED,CANDIDATE,5.3670e+02,1.37,757.0,4121.00,0.5530,0.5700
6665512,K02005.01,Kepler-1048 b,CONFIRMED,CANDIDATE,5.2970e+02,1.48,619.0,4461.00,0.5850,0.5710
8509442,K02992.01,,CANDIDATE,CANDIDATE,1.2707e+03,2.03,233.0,3952.00,0.5530,0.5720
11337141,K01649.01,Kepler-1761 b,CONFIRMED,CANDIDATE,4.1620e+02,1.75,613.0,3871.00,0.5320,0.5730
10005788,K01940.01,Kepler-1022 b,CONFIRMED,CANDIDATE,8.8470e+02,1.71,512.0,4302.00,0.5860,0.5730
11284772,K04622.01,Kepler-441 b,CONFIRMED,CANDIDATE,8.0920e+02,1.56,189.0,4339.00,0.5530,0.5730
8283875,K07007.01,,CANDIDATE,CANDIDATE,1.7050e+02,0.77,1240.0,4336.00,0.5900,0.5740
11853878,K01833.01,Kepler-968 b,CONFIRMED,CANDIDATE,7.6330e+02,1.74,745.0,4402.00,0.5720,0.5750
4832837,K00605.01,Kepler-621 b,CONFIRMED,CANDIDATE,9.3680e+02,1.77,737.0,3939.00,0.5570,0.5750
12066335,K00784.01,Kepler-231 c,CONFIRMED,CANDIDATE,1.2198e+03,1.93,393.0,4077.00,0.5600,0.5760
8235924,K02347.01,Kepler-1203 b,CONFIRMED,CANDIDATE,2.9740e+02,0.99,1188.0,3814.00,0.5700,0.5760
7416016,K05387.01,,CANDIDATE,CANDIDATE,3.9240e+02,1.17,167.0,4192.00,0.5900,0.5770
11853255,K00778.01,Kepler-674 b,CONFIRMED,CANDIDATE,8.2170e+02,1.99,822.0,4149.00,0.5640,0.5780
5617854,K01588.01,Kepler-901 b,CONFIRMED,CANDIDATE,5.3280e+02,1.42,704.0,4132.00,0.5640,0.5780
6186964,K02839.01,Kepler-1366 b,CONFIRMED,CANDIDATE,5.2510e+02,1.27,783.0,3941.00,0.5540,0.5780
6106282,K04087.01,Kepler-440 b,CONFIRMED,CANDIDATE,8.7810e+02,1.61,229.0,4133.00,0.5610,0.5780
10813078,K05831.01,,CANDIDATE,CANDIDATE,9.5400e+02,1.75,485.0,4031.00,0.5850,0.5780
4917596,K01973.01,Kepler-1032 b,CONFIRMED,CANDIDATE,6.4530e+02,1.49,802.0,4484.00,0.5940,0.5800
8892303,K02688.01,Kepler-1314 b,CONFIRMED,CANDIDATE,7.6800e+03,5.15,625.0,4137.00,0.5910,0.5800
11350118,K04509.01,,CANDIDATE,CANDIDATE,2.8170e+02,0.97,503.0,4328.00,0.5940,0.5800
9573685,K02057.01,Kepler-1074 b,CONFIRMED,CANDIDATE,4.0120e+02,1.12,568.0,3974.00,0.5640,0.5810
5601258,K02191.01,Kepler-1805 b,CONFIRMED,CANDIDATE,4.6020e+02,1.15,479.0,3867.00,0.5520,0.5810
11752906,K00253.01,Kepler-2000 b,CONFIRMED,CANDIDATE,2.3132e+03,2.73,530.0,3757.00,0.5760,0.5810
9114614,K05616.01,,CANDIDATE,CANDIDATE,8.2000e+02,1.71,152.0,4351.00,0.5920,0.5820
6670610,K06752.01,,CANDIDATE,CANDIDATE,2.3350e+02,0.89,536.0,4183.00,0.5940,0.5820
10073672,K02764.01,,CANDIDATE,CANDIDATE,4.6790e+02,1.19,795.0,4039.00,0.5590,0.5830
11622600,K01876.01,Kepler-991 b,CONFIRMED,CANDIDATE,1.8954e+03,2.45,260.0,4316.00,0.5800,0.5840
4852528,K00500.01,Kepler-80 b,CONFIRMED,CANDIDATE,1.4801e+03,2.16,547.0,4041.00,0.5670,0.5840
10525049,K04252.01,Kepler-1948 b,CONFIRMED,CANDIDATE,1.7350e+02,0.72,399.0,3872.00,0.5570,0.5850
6949607,K00870.01,Kepler-28 b,CONFIRMED,CANDIDATE,9.6140e+02,1.73,585.0,4072.00,0.5700,0.5860
8230616,K01713.01,Kepler-316 c,CONFIRMED,CANDIDATE,5.4580e+02,1.34,577.0,4198.00,0.5740,0.5870
5794240,K00254.01,Kepler-45 b,CONFIRMED,CANDIDATE,3.6912e+04,10.60,730.0,3793.00,0.5680,0.5870
7731281,K05416.01,Kepler-1628 b,CONFIRMED,CANDIDATE,1.1004e+04,6.28,240.0,3869.00,0.5840,0.5870
8016691,K03286.01,Kepler-1456 b,CONFIRMED,CANDIDATE,3.1080e+02,1.41,433.0,4257.00,0.6020,0.5890
3554031,K01194.01,Kepler-415 c,CONFIRMED,CANDIDATE,1.4196e+03,2.01,543.0,4362.00,0.5540,0.5900
4249725,K00222.01,Kepler-120 b,CONFIRMED,CANDIDATE,1.2860e+03,2.00,575.0,4090.00,0.5710,0.5910
2986833,K04875.01,,CANDIDATE,CANDIDATE,1.4460e+02,0.65,1025.0,3880.00,0.5550,0.5910
11462341,K02124.01,,CANDIDATE,CANDIDATE,3.5480e+02,1.45,311.0,4132.00,0.5810,0.5930
2161536,K02130.01,Kepler-1798 b,CONFIRMED,CANDIDATE,8.7150e+02,1.70,408.0,3967.00,0.5870,0.5930
6960913,K01361.01,Kepler-61 b,CONFIRMED,CANDIDATE,1.4191e+03,2.19,273.0,4016.00,0.5990,0.5950
12506770,K01577.01,Kepler-895 b,CONFIRMED,CANDIDATE,5.9960e+02,1.41,771.0,4153.00,0.5810,0.5950
10604335,K01298.01,Kepler-283 b,CONFIRMED,CANDIDATE,1.4625e+03,2.15,488.0,4141.00,0.5820,0.5960
12156347,K02588.01,Kepler-1687 b,CONFIRMED,CANDIDATE,3.9660e+02,1.50,598.0,4102.00,0.5810,0.5990
8814872,K05574.01,,CANDIDATE,CANDIDATE,1.8060e+03,2.55,158.0,4236.00,0.6120,0.5990
8367644,K01879.01,Kepler-993 b,CONFIRMED,CANDIDATE,3.1574e+03,3.34,352.0,3828.00,0.5650,0.6000
6697756,K02798.01,Kepler-1351 b,CONFIRMED,CANDIDATE,9.8500e+01,0.60,1212.0,4374.00,0.6140,0.6000
7802719,K02247.01,Kepler-1157 b,CONFIRMED,CANDIDATE,1.7570e+02,0.79,732.0,4487.00,0.6120,0.6010
6356400,K07776.01,,CANDIDATE,CANDIDATE,1.5042e+03,3.15,144.0,4378.00,0.6140,0.6010
10122538,K02926.01,Kepler-1388 b,CONFIRMED,CANDIDATE,1.6171e+03,2.21,434.0,3891.00,0.5640,0.6050
8505670,K00912.01,Kepler-252 c,CONFIRMED,CANDIDATE,1.6756e+03,2.34,499.0,4201.00,0.5910,0.6090
4770365,K01475.01,Kepler-1669 c,CONFIRMED,CANDIDATE,7.2850e+02,1.57,958.0,4224.00,0.6030,0.6090
5706966,K01908.01,Kepler-333 b,CONFIRMED,CANDIDATE,4.9410e+02,1.34,480.0,4213.00,0.5980,0.6090
5980208,K02742.01,Kepler-1331 b,CONFIRMED,CANDIDATE,2.1510e+02,0.91,1244.0,4258.00,0.6220,0.6100
7879433,K02527.01,Kepler-1850 b,CONFIRMED,CANDIDATE,8.5400e+01,0.55,1008.0,4239.00,0.6000,0.6110
10395543,K00531.01,,CANDIDATE,CANDIDATE,5.0576e+03,5.78,690.0,4004.00,0.6060,0.6110
5686174,K00610.01,Kepler-622 b,CONFIRMED,CANDIDATE,9.8320e+02,1.82,446.0,4102.00,0.5950,0.6120
4138008,K04742.01,Kepler-442 b,CONFIRMED,CANDIDATE,5.0210e+02,1.30,241.0,4401.00,0.5950,0.6130
10340423,K00736.01,Kepler-225 c,CONFIRMED,CANDIDATE,1.5290e+03,2.33,412.0,4126.00,0.6020,0.6160
