# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Oct 18 22:25:20 2023
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and sy_snum = 1
# CONSTRAINT:  and tran_flag not null
# CONSTRAINT:  and pl_orbperstr not null
# CONSTRAINT:  and pl_orbsmaxstr not null
# CONSTRAINT:  and pl_radestr not null
# CONSTRAINT:  and pl_massestr not null
# CONSTRAINT:  and pl_insolstr not null
# CONSTRAINT:  and pl_eqtstr not null
# CONSTRAINT:  and pl_tranmidstr not null
# CONSTRAINT:  and pl_impparstr not null
# CONSTRAINT:  and pl_trandepstr not null
# CONSTRAINT:  and pl_trandurstr not null
# CONSTRAINT:  and pl_ratdorstr not null
# CONSTRAINT:  and pl_ratrorstr not null
# CONSTRAINT:  and st_teffstr not null
# CONSTRAINT:  and st_radstr not null
# CONSTRAINT:  and st_massstr not null
# CONSTRAINT:  and st_lumstr not null
# CONSTRAINT:  and st_loggstr not null)
# CONSTRAINT:  order by pl_tranmid desc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN tran_flag:      Detected by Transits
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_masseerr1:   Planet Mass [Earth Mass] Upper Unc.
# COLUMN pl_masseerr2:   Planet Mass [Earth Mass] Lower Unc.
# COLUMN pl_masselim:    Planet Mass [Earth Mass] Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_tranmiderr1: Transit Midpoint Upper Unc. [days]
# COLUMN pl_tranmiderr2: Transit Midpoint Lower Unc. [days]
# COLUMN pl_tranmidlim:  Transit Midpoint Limit Flag
# COLUMN pl_imppar:      Impact Parameter
# COLUMN pl_impparerr1:  Impact Parameter Upper Unc.
# COLUMN pl_impparerr2:  Impact Parameter Lower Unc.
# COLUMN pl_impparlim:   Impact Parameter Limit Flag
# COLUMN pl_trandep:     Transit Depth [%]
# COLUMN pl_trandeperr1: Transit Depth Upper Unc. [%]
# COLUMN pl_trandeperr2: Transit Depth Lower Unc. [%]
# COLUMN pl_trandeplim:  Transit Depth Limit Flag
# COLUMN pl_trandur:     Transit Duration [hours]
# COLUMN pl_trandurerr1: Transit Duration Upper Unc. [hours]
# COLUMN pl_trandurerr2: Transit Duration Lower Unc. [hours]
# COLUMN pl_trandurlim:  Transit Duration Limit Flag
# COLUMN pl_ratdor:      Ratio of Semi-Major Axis to Stellar Radius
# COLUMN pl_ratdorerr1:  Ratio of Semi-Major Axis to Stellar Radius Upper Unc.
# COLUMN pl_ratdorerr2:  Ratio of Semi-Major Axis to Stellar Radius Lower Unc.
# COLUMN pl_ratdorlim:   Ratio of Semi-Major Axis to Stellar Radius Limit Flag
# COLUMN pl_ratror:      Ratio of Planet to Stellar Radius
# COLUMN pl_ratrorerr1:  Ratio of Planet to Stellar Radius Upper Unc.
# COLUMN pl_ratrorerr2:  Ratio of Planet to Stellar Radius Lower Unc.
# COLUMN pl_ratrorlim:   Ratio of Planet to Stellar Radius Limit Flag
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,tran_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,st_refname,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim
TOI-1470 c,TOI-1470,1,1,2,1,<a refstr=GONZ_AACUTE_LEZ__AACUTE_LVAREZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A.177G/abstract target=ref>Gonz&aacute;lez-&Aacute;lvarez et al. 2023</a>,18.08816000,0.00006000,-0.00008000,0,0.106000,0.001000,-0.001000,0,2.470,0.020,-0.020,0,7.24000,2.87000,-2.77000,0,3.35,0.30,-0.20,0,373,,,0,2458772.176000,0.003000,-0.002000,0,0.4700,0.0200,-0.0200,0,0.231500,0.003400,-0.003400,0,2.7000000,0.0100000,-0.0100000,0,48.460000,0.520000,-0.540000,0,0.04810,0.00040,-0.00040,0,<a refstr=GONZ_AACUTE_LEZ__AACUTE_LVAREZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A.177G/abstract target=ref>Gonz&aacute;lez-&Aacute;lvarez et al. 2023</a>,3709.00,11.00,-11.00,0,0.47,0.00,0.00,0,0.47,0.01,-0.01,0,-1.425,0.001,-0.001,0,4.77,0.02,-0.02,0
GPX-1 b,GPX-1,1,1,1,1,<a refstr=BENNI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.4956B/abstract target=ref>Benni et al. 2021</a>,1.74457900,0.00000800,-0.00000800,0,0.033800,0.000300,-0.000300,0,16.477,1.121,-1.121,0,6261.21962,508.52545,-508.52545,0,4650.00,370.00,-370.00,0,2300,48,-48,0,2458770.238230,0.000400,-0.000400,0,0.8200,0.0200,-0.0300,0,0.900000,0.030000,-0.030000,0,2.0900000,0.0500000,-0.0500000,0,4.670000,0.550000,-0.320000,0,0.09500,0.00200,-0.00200,0,<a refstr=BENNI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.505.4956B/abstract target=ref>Benni et al. 2021</a>,7000.00,200.00,-200.00,0,1.56,0.10,-0.10,0,1.68,0.10,-0.10,0,0.727,0.031,-0.034,0,4.27,0.05,-0.05,0
TOI-1470 b,TOI-1470,1,1,2,1,<a refstr=GONZ_AACUTE_LEZ__AACUTE_LVAREZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A.177G/abstract target=ref>Gonz&aacute;lez-&Aacute;lvarez et al. 2023</a>,2.52709300,0.00000400,-0.00000300,0,0.028500,0.000400,-0.000400,0,2.180,0.040,-0.040,0,7.32000,1.21000,-1.24000,0,46.30,1.50,-1.40,0,734,,,0,2458766.470200,0.000600,-0.000600,0,0.5900,0.0200,-0.0200,0,0.181400,0.006500,-0.006100,0,1.2800000,0.0200000,-0.0200000,0,13.050000,0.140000,-0.150000,0,0.04260,0.00080,-0.00070,0,<a refstr=GONZ_AACUTE_LEZ__AACUTE_LVAREZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...675A.177G/abstract target=ref>Gonz&aacute;lez-&Aacute;lvarez et al. 2023</a>,3709.00,11.00,-11.00,0,0.47,0.00,0.00,0,0.47,0.01,-0.01,0,-1.425,0.001,-0.001,0,4.77,0.02,-0.02,0
TOI-1431 b,TOI-1431,1,1,1,1,<a refstr=ADDISON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..292A/abstract target=ref>Addison et al. 2021</a>,2.65023700,0.00000300,-0.00000300,0,0.046000,0.002000,-0.002000,0,16.701,0.560,-0.560,0,991.62463,57.20911,-57.20911,0,5300.00,500.00,-470.00,0,2370,70,-70,0,2458739.177370,0.000070,-0.000070,0,0.8810,0.0040,-0.0040,0,0.579700,0.000700,-0.000700,0,2.4890000,0.0090000,-0.0090000,0,5.150000,0.050000,-0.050000,0,0.07955,0.00063,-0.00053,0,<a refstr=ADDISON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..292A/abstract target=ref>Addison et al. 2021</a>,7690.00,400.00,-250.00,0,1.92,0.07,-0.07,0,1.90,0.10,-0.08,0,1.068,0.078,-0.047,0,4.15,0.04,-0.04,0
HD 332231 b,HD 332231,1,1,1,1,<a refstr=DALBA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..241D/abstract target=ref>Dalba et al. 2020</a>,18.71204000,0.00043000,-0.00043000,0,0.143600,0.003200,-0.003300,0,9.718,0.303,-0.280,0,77.55052,6.67443,-6.67443,0,98.09,8.08,-7.20,0,876,17,-17,0,2458729.679870,0.000380,-0.000380,0,0.1330,0.1200,-0.0920,0,0.486700,0.005800,-0.005500,0,6.1560000,0.0264000,-0.0240000,0,24.210000,0.620000,-0.780000,0,0.06976,0.00041,-0.00039,0,<a refstr=DALBA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..241D/abstract target=ref>Dalba et al. 2020</a>,6089.00,97.00,-96.00,0,1.28,0.04,-0.04,0,1.13,0.08,-0.08,0,0.305,0.039,-0.041,0,4.28,0.03,-0.03,0
TOI-1231 b,TOI-1231,1,1,1,1,<a refstr=BURT_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162...87B/abstract target=ref>Burt et al. 2021</a>,24.24558600,0.00006400,-0.00006600,0,0.128800,0.002100,-0.002200,0,3.650,0.160,-0.150,0,15.40000,3.30000,-3.30000,0,1.93,0.10,-0.10,0,330,4,-4,0,2458685.116300,0.000480,-0.000490,0,0.2700,0.1900,-0.1800,0,0.492000,0.027000,-0.024000,0,3.2400000,0.0400000,-0.0300000,0,58.100000,2.000000,-2.000000,0,0.07010,0.00190,-0.00170,0,<a refstr=BURT_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162...87B/abstract target=ref>Burt et al. 2021</a>,3553.00,51.00,-52.00,0,0.48,0.01,-0.01,0,0.48,0.02,-0.02,0,-1.487,0.013,-0.014,0,4.77,0.03,-0.04,0
TOI-824 b,TOI-824,1,1,1,1,<a refstr=BURT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..153B/abstract target=ref>Burt et al. 2020</a>,1.39297800,0.00001800,-0.00001700,0,0.021770,0.000320,-0.000320,0,2.926,0.202,-0.191,0,18.46700,1.84300,-1.87500,0,412.00,51.00,-46.00,0,1253,38,-37,0,2458639.603540,0.000350,-0.000350,0,0.7450,0.0220,-0.0240,0,0.149000,0.014000,-0.014000,0,1.1534400,0.0194400,-0.0192000,0,6.730000,0.220000,-0.210000,0,0.03870,0.00180,-0.00190,0,<a refstr=BURT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..153B/abstract target=ref>Burt et al. 2020</a>,4600.00,110.00,-100.00,0,0.69,0.03,-0.03,0,0.71,0.03,-0.03,0,-0.710,0.058,-0.060,0,4.61,0.03,-0.03,0
TOI-776 c,TOI-776,1,1,2,1,<a refstr=LUQUE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...645A..41L/abstract target=ref>Luque et al. 2021</a>,15.66530000,0.00040000,-0.00030000,0,0.100000,0.002400,-0.002400,0,2.020,0.140,-0.140,0,5.30000,1.80000,-1.80000,0,4.90,0.20,-0.20,0,415,14,-14,0,2458572.599900,0.001800,-0.001600,0,0.2700,0.1200,-0.1100,0,0.148400,0.012700,-0.012700,0,2.9900000,0.1600000,-0.1300000,0,42.750000,1.490000,-1.570000,0,0.03440,0.00090,-0.00080,0,<a refstr=LUQUE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...645A..41L/abstract target=ref>Luque et al. 2021</a>,3709.00,70.00,-70.00,0,0.54,0.02,-0.02,0,0.54,0.03,-0.03,0,-1.310,0.017,-0.018,0,4.73,0.03,-0.03,0
TOI-776 b,TOI-776,1,1,2,1,<a refstr=LUQUE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...645A..41L/abstract target=ref>Luque et al. 2021</a>,8.24661000,0.00005000,-0.00004000,0,0.065200,0.001500,-0.001500,0,1.850,0.130,-0.130,0,4.00000,0.90000,-0.90000,0,11.50,0.60,-0.60,0,514,17,-17,0,2458571.416700,0.001000,-0.001100,0,0.2500,0.1000,-0.1400,0,0.106300,0.010400,-0.010400,0,2.4100000,0.1100000,-0.1000000,0,27.870000,0.970000,-1.020000,0,0.03160,0.00080,-0.00110,0,<a refstr=LUQUE_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...645A..41L/abstract target=ref>Luque et al. 2021</a>,3709.00,70.00,-70.00,0,0.54,0.02,-0.02,0,0.54,0.03,-0.03,0,-1.310,0.017,-0.018,0,4.73,0.03,-0.03,0
KELT-24 b,KELT-24,1,1,1,1,<a refstr=RODRIGUEZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..197R/abstract target=ref>Rodriguez et al. 2019</a>,5.55149260,0.00000810,-0.00000800,0,0.069690,0.000870,-0.000960,0,14.258,0.235,-0.235,0,1646.35940,66.74430,-69.92260,0,750.90,31.60,-30.90,0,1459,16,-16,0,2458540.477590,0.000360,-0.000350,0,0.1340,0.1300,-0.0960,0,0.753000,0.012000,-0.012000,0,4.3000800,0.0264000,-0.0232800,0,9.950000,0.170000,-0.180000,0,0.08677,0.00071,-0.00070,0,<a refstr=RODRIGUEZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..197R/abstract target=ref>Rodriguez et al. 2019</a>,6509.00,50.00,-49.00,0,1.51,0.02,-0.02,0,1.46,0.06,-0.06,0,0.565,0.019,-0.018,0,4.25,0.02,-0.02,0
K2-25 b,K2-25,1,1,1,1,<a refstr=STEFANSSON_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..192S/abstract target=ref>Stefansson et al. 2020</a>,3.48456408,0.00000060,-0.00000050,0,0.028700,0.001200,-0.001200,0,3.440,0.120,-0.120,0,24.50000,5.70000,-5.20000,0,9.91,0.95,-0.86,0,494,11,-11,0,2458515.642060,0.000100,-0.000090,0,0.6280,0.0320,-0.0370,0,1.155000,0.038000,-0.039000,0,0.7637000,0.0086000,-0.0089000,0,21.090000,0.570000,-0.590000,0,0.10750,0.00180,-0.00180,0,<a refstr=STEFANSSON_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..192S/abstract target=ref>Stefansson et al. 2020</a>,3207.00,58.00,-58.00,0,0.29,0.01,-0.01,0,0.26,0.01,-0.01,0,-2.088,0.015,-0.016,0,4.94,0.03,-0.03,0
G 9-40 b,G 9-40,1,1,1,1,<a refstr=STEFANSSON_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..100S/abstract target=ref>Stefansson et al. 2020</a>,5.74600700,0.00000600,-0.00000600,0,0.038500,0.007800,-0.005300,0,2.025,0.096,-0.097,0,11.70000,,,1,7.20,2.50,-2.20,0,456,35,-40,0,2458497.777470,0.000320,-0.000330,0,0.6720,0.1000,-0.2200,0,0.365000,0.032000,-0.033000,0,1.3368000,0.0456000,-0.0408000,0,27.000000,5.400000,-3.700000,0,0.06050,0.00260,-0.00280,0,<a refstr=STEFANSSON_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..100S/abstract target=ref>Stefansson et al. 2020</a>,3348.00,32.00,-32.00,0,0.31,0.01,-0.01,0,0.29,0.02,-0.02,0,-1.971,0.011,-0.012,0,4.93,0.03,-0.03,0
TOI-257 b,TOI-257,1,1,1,1,<a refstr=ADDISON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.3704A/abstract target=ref>Addison et al. 2021</a>,18.38818000,0.00085000,-0.00084000,0,0.152800,0.001600,-0.001700,0,7.163,0.146,-0.146,0,43.86032,7.31005,-7.31005,0,186.00,14.00,-12.00,0,1027,18,-18,0,2458385.760100,0.001300,-0.001200,0,0.6430,0.0190,-0.0200,0,0.124000,0.001600,-0.001600,0,6.4850000,0.0310000,-0.0310000,0,17.600000,0.360000,-0.350000,0,0.03521,0.00022,-0.00022,0,<a refstr=ADDISON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.3704A/abstract target=ref>Addison et al. 2021</a>,6095.00,89.00,-89.00,0,1.87,0.03,-0.03,0,1.41,0.04,-0.05,0,0.636,0.029,-0.029,0,4.04,0.02,-0.02,0
TOI-125 c,TOI-125,1,1,3,1,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,9.15059000,0.00070000,-0.00082000,0,0.081400,0.001300,-0.001300,0,2.759,0.100,-0.100,0,6.63000,0.99000,-0.99000,0,77.59,3.31,-3.31,0,828,9,-9,0,2458361.908500,0.001300,-0.001300,0,0.5220,0.0860,-0.1800,0,0.089100,0.006000,-0.005700,0,2.9544000,0.0624000,-0.0720000,0,20.660000,0.420000,-0.420000,0,0.02985,0.00099,-0.00099,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,5320.00,39.00,-39.00,0,0.85,0.01,-0.01,0,0.86,0.04,-0.04,0,-0.285,0.013,-0.014,0,4.52,0.02,-0.02,0
TOI-181 b,TOI-181,1,1,1,1,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp..527M/abstract target=ref>Mistry et al. 2023</a>,4.53200000,0.00000200,-0.00000200,0,0.053900,0.004300,-0.003600,0,6.956,0.087,-0.101,0,46.16870,2.71000,-7.83000,0,102.43,15.52,-14.64,0,895,32,-34,0,2458358.120000,0.000270,-0.000260,0,0.5348,0.0500,-0.0700,0,0.730000,0.018000,-0.021000,0,1.9900000,0.2300000,-0.2100000,0,15.564100,1.250000,-1.060000,0,0.08540,0.00100,-0.00100,0,<a refstr=MISTRY_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp..527M/abstract target=ref>Mistry et al. 2023</a>,4994.00,50.00,-50.00,0,0.74,0.02,-0.02,0,0.82,0.04,-0.04,0,-0.526,0.016,-0.016,0,4.61,0.04,-0.04,0
TOI-244 b,TOI-244,1,1,1,1,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230504922C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2023</a>,7.39722500,0.00002600,-0.00002300,0,0.055900,0.001300,-0.001300,0,1.520,0.120,-0.120,0,2.68000,0.30000,-0.30000,0,7.30,0.40,-0.40,0,458,20,-20,0,2458357.362700,0.002000,-0.002000,0,0.6100,0.3100,-0.3100,0,0.106000,0.012000,-0.012000,0,1.7000000,0.5000000,-0.5000000,0,28.100000,1.800000,-1.800000,0,0.03260,0.00170,-0.00180,0,<a refstr=CASTRO_GONZ_AACUTE_LEZ_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230504922C/abstract target=ref>Castro-Gonz&aacute;lez et al. 2023</a>,3433.00,100.00,-100.00,0,0.43,0.03,-0.03,0,0.43,0.03,-0.03,0,-1.643,0.008,-0.008,0,4.66,0.07,-0.07,0
TOI-125 b,TOI-125,1,1,3,1,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,4.65382000,0.00033000,-0.00031000,0,0.051860,0.000860,-0.000770,0,2.726,0.075,-0.075,0,9.50000,0.88000,-0.88000,0,185.00,9.00,-9.00,0,1037,11,-11,0,2458355.355290,0.001000,-0.001000,0,0.2700,0.1700,-0.1800,0,0.087000,0.004300,-0.004000,0,2.9616000,0.0576000,-0.0576000,0,13.160000,0.270000,-0.270000,0,0.02950,0.00070,-0.00070,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,5320.00,39.00,-39.00,0,0.85,0.01,-0.01,0,0.86,0.04,-0.04,0,-0.285,0.013,-0.014,0,4.52,0.02,-0.02,0
TOI-172 b,TOI-172,1,1,1,1,<a refstr=RODRIGUEZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..191R/abstract target=ref>Rodriguez et al. 2019</a>,9.47725000,0.00064000,-0.00079000,0,0.091400,0.001700,-0.001700,0,10.817,0.359,-0.325,0,1722.63860,69.92260,-63.56600,0,299.00,19.00,-16.00,0,1198,18,-17,0,2458345.873400,0.001300,-0.001300,0,0.2200,0.1200,-0.1400,0,0.312000,0.010000,-0.010000,0,4.7136000,0.0672000,-0.0696000,0,11.090000,0.280000,-0.300000,0,0.05588,0.00091,-0.00092,0,<a refstr=RODRIGUEZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..191R/abstract target=ref>Rodriguez et al. 2019</a>,5645.00,50.00,-50.00,0,1.78,0.05,-0.04,0,1.13,0.07,-0.06,0,0.461,0.028,-0.028,0,3.99,0.03,-0.03,0
TOI-125 d,TOI-125,1,1,3,1,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,19.98000000,0.00500000,-0.00560000,0,0.137000,0.002200,-0.002200,0,2.930,0.170,-0.170,0,13.60000,1.20000,-1.20000,0,26.70,1.40,-1.40,0,638,7,-7,0,2458342.851600,0.003900,-0.003900,0,0.6520,0.0930,-0.1600,0,0.100000,0.012000,-0.011000,0,3.1128000,0.1680000,-0.1368000,0,34.770000,0.700000,-0.700000,0,0.03170,0.00180,-0.00180,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,5320.00,39.00,-39.00,0,0.85,0.01,-0.01,0,0.86,0.04,-0.04,0,-0.285,0.013,-0.014,0,4.52,0.02,-0.02,0
WASP-44 b,WASP-44,1,1,1,1,<a refstr=ADDISON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019PASP..131k5003A/abstract target=ref>Addison et al. 2019</a>,2.42380400,0.00000800,-0.00000800,0,0.034530,0.000650,-0.000650,0,12.330,0.908,-0.852,0,276.51210,20.02329,-19.70546,0,533.00,72.00,-64.00,0,1337,43,-42,0,2458338.102384,0.000364,-0.000374,0,0.5410,0.0610,-0.0740,0,1.560000,0.060000,-0.060000,0,2.2368000,0.0480000,-0.0456000,0,8.200000,0.430000,-0.420000,0,0.12480,0.00230,-0.00230,0,<a refstr=ADDISON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019PASP..131k5003A/abstract target=ref>Addison et al. 2019</a>,5420.00,100.00,-100.00,0,0.91,0.05,-0.05,0,0.94,0.05,-0.05,0,-0.198,0.064,-0.064,0,4.49,0.04,-0.04,0
HD 1397 b,HD 1397,1,1,1,1,<a refstr=NIELSEN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623A.100N/abstract target=ref>Nielsen et al. 2019</a>,11.53533000,0.00079000,-0.00080000,0,0.109700,0.001100,-0.001300,0,11.500,0.280,-0.303,0,131.89945,6.35660,-6.35660,0,356.00,12.00,-12.00,0,1228,10,-10,0,2458332.082610,0.000600,-0.000600,0,0.1700,0.1200,-0.1100,0,0.203700,0.002700,-0.002300,0,8.6016000,0.0336000,-0.0312000,0,10.100000,0.240000,-0.220000,0,0.04513,0.00030,-0.00025,0,<a refstr=NIELSEN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...623A.100N/abstract target=ref>Nielsen et al. 2019</a>,5521.00,60.00,-60.00,0,2.34,0.05,-0.06,0,1.32,0.04,-0.05,0,0.660,0.014,-0.015,0,3.82,0.02,-0.02,0
